2015-04-26_14:45:08 HA_Modbus_1 DISCONNECTED
2015-04-26_14:46:09 HA_Modbus_1 CONNECTED
2015-04-26_14:49:58 HA_SDM630M_1 Modbus_Node_adr: 1
2015-04-26_14:49:58 HA_SDM630M_1 Pulse_Divisor_1: 0
2015-04-26_14:49:58 HA_SDM630M_1 System_Password: 1000
2015-04-26_14:49:58 HA_SDM630M_1 Modbus_Speed__baud: 9600
2015-04-26_14:49:58 HA_SDM630M_1 Demand_Period__minutes: 60 min
2015-04-26_14:50:00 HA_SDM630M_1 System_Power__W: 6600 W
2015-04-26_14:50:00 HA_SDM630M_1 System_Serial_Nr: 66541387055940948197376
2015-04-26_14:50:02 HA_SDM630M_1 Current_Avr__A: 0.1 V
2015-04-26_14:50:02 HA_SDM630M_1 Current_Sum__A: 0.33 A
2015-04-26_14:50:02 HA_SDM630M_1 Power_Sum__W: 43.7 W
2015-04-26_14:50:02 HA_SDM630M_1 Power_Sum__VA: 43.7 VA
2015-04-26_14:50:03 HA_SDM630M_1 THD_Voltage_avr_LL__%: 0.0 %
2015-04-26_14:50:03 HA_SDM630M_1 Energy_total__kWh: 0.008 kWh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_total__kVArh: 0.000 kVArh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_L1_import__kWh: 0.008 kWh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_L2_import__kWh: 0.000 kWh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_L3_import__kWh: 0.000 kWh
2015-04-26_14:50:03 HA_SDM630M_1 Energy_L1_total__kWh: 0.008 kWh
2015-04-26_14:50:44 HA_SDM630M_1 Power_L1__VA: 43.8 VA
2015-04-26_14:50:46 HA_SDM630M_1 CosPhi_L1: -0.7 %
2015-04-26_14:50:46 HA_SDM630M_1 Voltage_Avr__V: 80.3 V
2015-04-26_14:50:46 HA_SDM630M_1 Power_Sum__W: 43.5 W
2015-04-26_14:50:46 HA_SDM630M_1 Power_Sum__VA: 43.5 VA
2015-04-26_14:51:40 HA_SDM630M_1 Power_Sum__W: 43.3 W
2015-04-26_14:51:40 HA_SDM630M_1 Power_Sum__VA: 43.3 VA
2015-04-26_14:51:46 HA_SDM630M_1 Power_L1__VA: 43.7 VA
2015-04-26_14:51:47 HA_SDM630M_1 Energy_total__kWh: 0.010 kWh
2015-04-26_14:51:47 HA_SDM630M_1 Energy_L1_import__kWh: 0.010 kWh
2015-04-26_14:51:47 HA_SDM630M_1 Energy_L1_total__kWh: 0.010 kWh
2015-04-26_14:51:48 HA_SDM630M_1 Energy_apparent__kVAh: 0.010 kVAh
2015-04-26_14:51:48 HA_SDM630M_1 Charge__kAh: 0.055 kAh
2015-04-26_14:52:38 HA_SDM630M_1 CosPhi: -0.6 %
2015-04-26_14:52:38 HA_SDM630M_1 Energy_import__kWh: 0.010 kWh
2015-04-26_14:52:45 HA_SDM630M_1 Power_L1__W: 43 W
2015-04-26_14:52:45 HA_SDM630M_1 Power_L1__VA: 43.5 VA
2015-04-26_14:52:46 HA_SDM630M_1 CosPhi_L1: -1.1 %
2015-04-26_14:52:46 HA_SDM630M_1 Voltage_Avr__V: 80.2 V
2015-04-26_14:52:46 HA_SDM630M_1 Current_Sum__A: 0.32 A
2015-04-26_14:53:13 HA_SDM630M_1 Power_L1__W: 44 W
2015-04-26_14:53:13 HA_SDM630M_1 Power_L1__VA: 43.8 VA
2015-04-26_14:53:13 HA_SDM630M_1 CosPhi_L1: -0.8 %
2015-04-26_14:53:15 HA_SDM630M_1 CosPhi_L1: -1.3 %
2015-04-26_14:53:17 HA_SDM630M_1 THD_Voltage_avr_LN__%: -0.0 %
2015-04-26_14:53:17 HA_SDM630M_1 THD_Current_avr__%: -0.0 %
2015-04-26_14:53:17 HA_SDM630M_1 PowerFactor_inverted: -0.6
2015-04-26_14:53:18 HA_SDM630M_1 CosPhi: -0.5 %
2015-04-26_14:53:18 HA_SDM630M_1 Energy_import__kWh: 0.011 kWh
2015-04-26_14:53:19 HA_SDM630M_1 Power_L1__VA: 43.5 VA
2015-04-26_14:53:26 HA_SDM630M_1 Voltage_L1__V: 241.0 V
2015-04-26_14:53:29 HA_SDM630M_1 THD_Voltage_L1_N__%: 0.0 %
2015-04-26_14:53:31 HA_SDM630M_1 Power_L1__VA: 44.3 VA
2015-04-26_14:53:35 HA_SDM630M_1 Voltage_L1_to_L2__V: 240.5 V
2015-04-26_14:53:35 HA_SDM630M_1 Voltage_L3_to_L1__V: 240.5 V
2015-04-26_14:53:35 HA_SDM630M_1 Voltage_Avr_L_to_L__V: 160.3 V
2015-04-26_14:53:36 HA_SDM630M_1 Energy_apparent__kVAh: 0.012 kVAh
2015-04-26_14:53:36 HA_SDM630M_1 Charge__kAh: 0.062 kAh
2015-04-26_14:53:42 HA_SDM630M_1 Current_Sum__A: 0.33 A
2015-04-26_14:53:43 HA_SDM630M_1 Energy_total__kWh: 0.011 kWh
2015-04-26_14:53:43 HA_SDM630M_1 Energy_L1_import__kWh: 0.011 kWh
2015-04-26_14:53:43 HA_SDM630M_1 Energy_L1_total__kWh: 0.011 kWh
2015-04-26_14:54:13 HA_SDM630M_1 Current_L1__A: 0.00 A
2015-04-26_14:54:16 HA_SDM630M_1 Current_N__A: 0.13 A
2015-04-26_14:54:18 HA_SDM630M_1 Power_L1__W: 0 W
2015-04-26_14:54:18 HA_SDM630M_1 Power_L1__VA: 0.0 VA
2015-04-26_14:54:19 HA_SDM630M_1 CosPhi_L1: 46.0 %
2015-04-26_14:54:19 HA_SDM630M_1 Voltage_Avr__V: 80.3 V
2015-04-26_14:54:19 HA_SDM630M_1 Current_Avr__A: 0.0 V
2015-04-26_14:54:19 HA_SDM630M_1 Current_Sum__A: 0.13 A
2015-04-26_14:54:19 HA_SDM630M_1 Power_Sum__W: 0.0 W
2015-04-26_14:54:19 HA_SDM630M_1 Power_Sum__VA: 0.0 VA
2015-04-26_14:55:12 HA_SDM630M_1 CosPhi: 189.9 %
2015-04-26_14:55:22 HA_SDM630M_1 Charge__kAh: 0.064 kAh
2015-04-26_14:56:20 HA_SDM630M_1 CosPhi_L1: 65.7 %
2015-04-26_14:56:20 HA_SDM630M_1 Voltage_Avr__V: 80.4 V
2015-04-26_14:57:12 HA_SDM630M_1 CosPhi: -1.1 %
2015-04-26_14:57:13 HA_SDM630M_1 Current_Sum__A: 0.32 A
2015-04-26_14:57:13 HA_SDM630M_1 Power_Sum__W: 43.4 W
2015-04-26_14:57:13 HA_SDM630M_1 Power_Sum__VA: 43.4 VA
2015-04-26_14:57:14 HA_SDM630M_1 Current_L1__A: 0.18 A
2015-04-26_14:57:17 HA_SDM630M_1 Current_N__A: 0.17 A
2015-04-26_14:57:19 HA_SDM630M_1 Power_L1__W: 44 W
2015-04-26_14:57:19 HA_SDM630M_1 Power_L1__VA: 43.7 VA
2015-04-26_14:57:23 HA_SDM630M_1 Energy_apparent__kVAh: 0.013 kVAh
